pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
16422983,20283,useless,vszakats,1468291551,1,256,73,73.99398495370372,42.28578549382715,60
15731163,20278,useful,cvrebert,1468277125,1,4,1,0.5159958847736625,41.391980967078204,60
15730717,20276,useless,cvrebert,1468273241,1,4,1,1.976076517489712,40.41741010802468,59
15729669,20275,useful,cvrebert,1468261022,1,6,1,0,107.22433294753085,234
15721909,20272,useless,Mathdrquinn,1468222056,6,54,1,2.2102150205761317,108.39692091049376,234
15780409,20267,useful,XhmikosR,1468134475,2,1037,5,9.631593106995885,29.293852623456782,47
15727350,20260,useless,patrickhlauke,1467936896,2,45,9,19.07226208847737,112.29160018004109,251
16986759,20247,useless,cloudyan,1467763962,1,4,1,3.877100051440329,114.84406738683127,250
20298762,20210,useless,shockry,1467232191,1,2,1,0,130.53112422839504,262
16092513,20203,useful,XhmikosR,1467149948,1,30,16,56.77003330761315,133.31247595164618,264
15626823,20199,useful,XhmikosR,1467110003,2,663,14,12.995842078189296,29.10040959362139,52
15625677,20198,useful,dmethvin,1467103938,1,4,1,4.061527134773662,124.79244277263373,254
15624366,20196,useful,XhmikosR,1467097307,2,901,2,44.59805838477367,125.01015676440332,256
15620779,20194,useless,frostbitten,1467078930,2,44,4,9.948351208847738,125.61516087962966,256
15631391,20191,useful,cvrebert,1467061921,3,40,19,64.24872247942393,125.1708995627572,255
15615873,20189,useless,Lyricalz,1467036774,8,373,47,1.3982797067901234,28.576711162551444,51
16444797,20188,useless,godlevel,1467032494,1,42,1,0.7834443158436214,124.12035635288069,253
15604171,20178,useful,cvrebert,1466951920,1,10,2,9.062949588477366,122.70895100308637,249
15988806,20174,useless,maxbeatty,1466857671,1,88,3,0.6421814557613169,123.7034201388889,247
18347617,20167,useless,zalog,1466735408,1,8,1,2.6739111368312756,127.61140123456795,249
18297019,20149,useless,depl0y,1466451476,1,15,1,0.5548546810699588,132.70609130658434,252
15526276,20144,useful,cvrebert,1466376212,1,8,1,2.243531507201646,133.1462299382717,255
15525218,20141,useful,cvrebert,1466366289,1,2,1,23.62981610082305,129.45370280349806,251
15525184,20140,useful,cvrebert,1466365784,4,1328,7,58.58656134259258,129.47000360082308,251
15492421,20130,useful,jeradrutnam,1466064979,1,6,1,0.6102649176954733,139.2082406121399,253
15474985,20121,useless,TwinProduction,1465971854,1,114,1,0,29.559520961934144,53
17764774,20112,useless,FranDias,1465826535,1,4,1,1.1497195216049385,147.0371023662551,262
15412556,20109,useless,malthejorgensen,1465551772,2,12,1,0,32.562256558641984,58
15396114,20103,useless,jeradrutnam,1465505320,3,52,16,121.9202182355968,149.35779719650205,260
15378530,20101,useful,heath3,1465452504,1,20,1,0,150.11680787037037,264
15369694,20100,useless,ExFlo,1465429053,1,8,2,1.009624356995885,150.91598649691377,265
15364269,20099,useful,DavidStrada,1465406589,250,4380,164,45.096437500000015,33.67747800925926,64
15350874,20097,useless,arnetkachev,1465369600,1,2,1,0,152.95100012860098,267
15347331,20094,useless,Hightrack,1465361925,1,36,3,11.21444495884774,153.2145321502057,267
15339395,20091,useless,eveybody2,1465339107,1,1,1,0,34.29417952674895,75
15332897,20090,useful,cvrebert,1465326685,1,10,1,19.861524176954738,152.4196702674897,267
15324420,20089,useful,cvrebert,1465299657,2,30,1,19.99708127572017,153.3477150205763,267
15288593,20083,useful,kvlsrg,1465191223,1,14,1,7.6711826131687255,98.87452019032922,206
15263893,20076,useful,cvrebert,1465077783,1,11,2,12.540266718106995,159.029707690329,280
15262954,20074,useful,cvrebert,1465069690,1,3,1,7.720288194444445,158.3168993055553,279
15262883,20073,useful,cvrebert,1465068971,1,23,2,54.765553240740715,157.33845447530877,278
15261991,20072,useful,cvrebert,1465065368,1,7703,26,24.73470473251028,157.4672654320987,278
15261580,20071,useless,mapRepo,1465062290,181,99938,715,12.603438271604945,33.90426067386833,76
15260611,20070,useful,cvrebert,1465055505,1,98,3,51.89130645576133,154.80689210390935,275
15260452,20069,useful,cvrebert,1465054338,2,96,3,56.635985210905346,153.8438863168723,274
15260138,20068,useful,cvrebert,1465052346,2,10,3,56.627209233539084,152.90983474794234,273
15259923,20063,useful,cvrebert,1465051175,1,8,2,45.90750218621397,151.94668299897117,272
15258836,20047,useful,cvrebert,1465045219,2,30,3,51.67964609053499,151.15141628086437,272
15258732,20045,useful,cvrebert,1465044712,1,8,2,41.9496054526749,150.1649822530866,271
15258481,20044,useful,cvrebert,1465043593,1,8,2,39.95081005658437,149.19976183127574,270
15258347,20043,useful,cvrebert,1465042968,4,68,4,45.62484503600821,148.21725205761314,269
15258077,20042,useful,cvrebert,1465041941,2,8,2,35.94747723765431,147.24864068930057,269
15258052,20041,useful,cvrebert,1465041056,7,342,3,39.667710262345686,146.2750101594651,268
15254431,20040,useless,gitaeks,1465024310,1,5,1,2.1481036522633743,142.8282267232511,264
15252860,20039,useless,Manuellama,1465016493,2,33,1,0,143.09433963477363,265
15251408,20038,useless,Manuellama,1465007686,1,13,1,0,143.394475308642,265
15248841,20037,useful,cvrebert,1464989468,1,10,1,19.582612011316876,142.00665959362135,264
15248433,20036,useful,cvrebert,1464986496,1,10,1,17.58864467592593,140.09868762860077,262
15243419,20034,useless,henryw4k,1464961161,1,2,1,0,29.85331558641976,71
15239817,20033,useful,wizpig64,1464951195,2,6,1,4.509521219135801,141.2880988940329,262
15227044,20028,useless,Molkobain,1464918195,2,6,1,0,30.245623456790113,71
15223903,20026,useful,cvrebert,1464908931,1,10,1,16.953438528806583,141.70870563271615,262
15222856,20025,useful,cvrebert,1464905582,1,10,1,15.964736239711932,140.8173379629629,261
15221334,20024,useful,cvrebert,1464899621,1,10,1,14.987347093621398,140.01319804526744,260
15218552,20023,useless,2r2,1464890125,1,2,1,0,25.473898148148134,66
15206523,20021,useful,cvrebert,1464854462,1,10,1,13.176300154320987,139.51464261831262,258
15206360,20020,useful,cvrebert,1464854051,1,10,1,13.177991512345677,139.5282791923868,258
15205223,20019,useful,dmethvin,1464851591,1,2,1,0,24.796400077160484,65
15179060,20017,useful,dereckson,1464771451,1,2,1,0,24.497549125514396,69
15176029,20016,useless,jmboiton,1464764533,1,1,1,0,24.558935699588485,69
15147958,20009,useless,kvlsrg,1464701868,1,8,3,8.168957818930041,144.6853106995884,267
15137467,20001,useless,Johann-S,1464652560,1,4,1,1.0031327160493828,145.37401954732522,266
15136290,20000,useful,cvrebert,1464650520,1,49,2,30.71507973251029,144.43959812242804,265
15136058,19998,useful,cvrebert,1464649388,6,410,5,27.709233539094654,137.4495398662552,258
15135266,19995,useful,cvrebert,1464646540,2,18,4,22.161817129629636,134.53151941872434,255
15135033,19994,useful,cvrebert,1464645721,2,119,3,18.695364711934157,131.5458644547326,252
15134751,19993,useful,cvrebert,1464644654,2,124,3,12.676134259259262,128.56790830761312,249
15134645,19992,useful,cvrebert,1464644219,1,41,4,4.931195473251028,127.57763233024683,248
15133776,19990,useful,cvrebert,1464639833,2,628,3,11.944449588477367,124.70506327160486,245
15121434,19988,useless,sendilkumarn,1464595417,1,4,1,0,126.10884426440322,246
15107591,19986,useful,cvrebert,1464541147,1,14,1,1.0039894547325103,126.81475758744857,245
15107400,19985,useful,cvrebert,1464539688,1,4,1,0,125.85654951131686,244
15106753,19984,useful,cvrebert,1464535360,2,60,1,14.645885931069959,125.99235609567899,244
15096696,19982,useful,XhmikosR,1464482190,4,2632,8,4.701585519547326,23.03488798868313,65
15090379,19980,useful,cvrebert,1464434820,1,2,1,1.4869540895061726,128.1529405864197,244
15082028,19978,useless,vanduynslagerp,1464386117,4,76,3,2.230776234567901,129.70251183127573,257
15078798,19977,useful,zalog,1464362917,1,1,1,0.8234450874485597,130.4692813786009,257
14999493,19967,useless,leetskills,1464141246,3,21,3,27.348005787037042,131.94615573559673,264
14966068,19963,useless,happyXSY,1464052528,1,1,1,0,15.330472993827156,59
14950278,19958,useful,cvrebert,1464003197,1,10,1,15.047822016460906,136.65927713477367,270
14928006,19955,useful,eiselzby,1463933778,1,4,2,0.8794642489711935,16.284587062757197,63
14914780,19953,useful,vanduynslagerp,1463867968,1,6,1,0,141.40106430041166,273
14907588,19952,useless,rajikaimal,1463824398,1,718,21,1.4163369341563778,17.170767618312762,63
14887473,19950,useless,bo01ean,1463735204,2,3158,25,2.6798364197530864,17.89340419238683,63
14884734,19948,useful,cvrebert,1463728623,1,10,1,16.24837705761317,143.35660223765453,270
14884271,19947,useless,cvrebert,1463727530,1,2,1,14.244770576131687,140.3819575617284,267
14884043,19946,useful,cvrebert,1463727053,1,10,1,14.246733539094647,140.39833603395076,267
14877069,19941,useless,Hightrack,1463711031,1,86,2,2.358780606995885,140.94847415123465,267
14876853,19940,useless,Hightrack,1463710365,1,86,2,2.3590375514403292,140.97134220679027,267
14854914,19936,useless,cvrebert,1463644203,1,19,14,16.823198816872427,143.2586422325104,276
14851563,19935,useless,patrickhlauke,1463637458,1,6,1,0,18.68532780349794,63
14845299,19934,useless,tschmits,1463622419,1,5,1,0,18.807327546296303,64
14820139,19932,useless,akai,1463550906,1,2,1,4.908473765432098,145.62009657921806,281
14785620,19926,useful,zalog,1463462268,1,3,1,2.619980324074074,148.94543878600822,315
14764043,19920,useful,dumb,1463397660,1,10,1,2.046122556584362,151.75377572016458,346
14759818,19919,useful,dumb,1463388749,1,2,1,6.274407664609054,150.14154385288057,345
14753828,19915,useful,zalog,1463375195,1,1,1,6.141784079218108,150.7699642489711,366
14740110,19912,useless,bastienmoulia,1463320187,4,11808,65,184.69074086934157,153.36526208847718,367
14739672,19911,useless,bastienmoulia,1463318554,2,5630,61,180.0465559413582,153.44233397633752,367
14732798,19906,useful,dmethvin,1463289603,1,4,1,0,154.81594161522645,369
14724578,19904,useless,zalog,1463238192,1,6,1,3.8379553755144036,157.25558397633753,369
14722540,19902,useless,pimartin,1463227940,1,4,1,0,22.270157150205765,71
14692756,19894,useful,XhmikosR,1463113365,1,30,16,43.948910879629636,163.22901015946502,374
