pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
16710797,15080,useless,austinoneil,1472659935,1,34,2,4.853449331275721,86.46730452674893,221
16691016,15075,useful,packtpartner,1472609957,1,2,1,2.3061827417695473,87.88771836419767,221
16670041,15071,useful,Narretz,1472562926,1,568,8,21.7498332047325,89.22437615740735,221
16624988,15065,useful,jbedard,1472417002,4,64,1,2.667092592592593,91.34353742283946,220
16624912,15064,useful,jbedard,1472416630,2,403,1,2.667331790123457,91.35406211419755,220
16530459,15058,useless,zhx198600,1472058129,250,51769,578,646.8093960905397,92.38991589506176,218
16519984,15057,useful,Narretz,1472029256,2,51,2,18.868107124485597,101.36634400720153,226
16511399,15055,useless,kuitos,1472014571,1,107,3,13.389780864197533,93.61106352880648,218
16471101,15051,useless,rohitbind,1471902120,1,2,1,0.38821193415637856,96.8553134002058,230
16417551,15048,useless,emirhanozlen,1471687415,1,3,1,0.9144183384773663,102.67180195473263,254
16406376,15046,useless,simonkeatley,1471620476,250,51627,578,704.2147380401219,104.85833822016448,254
16349973,15041,useful,BBlackwo,1471464264,2,10,1,6.087854423868315,109.00660609567915,257
16340502,15039,useful,Narretz,1471433632,9,167,4,23.756207690329223,111.03070871913572,258
16332984,15037,useful,dulybon1,1471416947,1,2,1,2.6635999228395066,106.54684516460911,253
16327601,15036,useless,akshar-raaj,1471406764,1,2,1,1.8562193930041153,105.87336046810705,252
16305906,15032,useless,alcalyn,1471332650,1,3,1,0,108.27910943930041,254
16293137,15030,useless,BobChao87,1471304681,3,51,2,5.946373328189301,109.1927058899177,254
16263424,15025,useless,gkalpak,1471215441,2,256,2,13.675502700617287,117.29565547839495,263
16252581,15023,useless,sai1980s,1471162323,250,50889,575,758.8357655606992,113.90899909979441,260
16222365,15021,useless,Parent5446,1471004767,1,29,2,1.030087705761317,119.1770752314816,260
16230233,15017,useless,lenivene,1470927862,1,2,1,0,118.7192310956789,260
16208267,15016,useful,gkalpak,1470926090,1,69,3,3.8978121141975306,118.77848006687265,260
16201095,15015,useful,Narretz,1470910486,1,48,5,2.9246875,119.30021875000016,260
16155488,15011,useful,mgol,1470791762,2,8460,172,254.97891949588393,121.25895164609064,260
16143286,15010,useless,plong0,1470749709,1,2,1,1.8236666666666665,121.6520030864197,259
16114068,15008,useful,gkalpak,1470726820,1,85,1,1.1360509259259257,120.4024263117284,257
16119049,15007,useful,ben4ever,1470681971,1,8,1,0.14122492283950616,120.87961394032918,257
16098838,15006,useful,mgol,1470623879,1,6,2,1.9496998456790124,115.76002713477374,251
16095022,15004,useful,Narretz,1470613590,2,57,2,9.646702031893003,123.1444881687243,258
16094211,15003,useful,kvisscher,1470611265,1,2,1,0.15102610596707822,111.1428149434156,246
16081904,15000,useful,Roshanjossey,1470546311,1,2,1,2.354784593621399,113.19768685699593,246
16021146,14997,useful,gkalpak,1470465114,1,132,40,77.58802752057609,115.76641911008235,246
