pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits,branch
42124949,26825,useful,mdo,1531066429,4,84,2,0,44.00988348765434,96,v4-dev
42121022,26824,useful,mdo,1531057442,1,81,5,7.6540378086419745,44.12188618827159,97,v4-dev
42100312,26821,useful,mdo,1530996939,6,76,4,2.7450185185185187,44.87678485082305,98,v4-dev
42099559,26820,useful,mdo,1530993165,1,35,2,0.4878115997942387,74.97356147119342,128,v4-dev
42033397,26813,useful,XhmikosR,1530836488,1,28,2,13.456147633744859,45.903254886831284,98,v4-dev
42004610,26810,useful,MartijnCuppens,1530791164,1,22,6,0.21177391975308657,45.46448932613171,97,v4-dev
41898910,26799,useful,Kirlovon,1530617828,1,2,1,4.5374300411522634,45.67043788580245,99,v4-dev
41860023,26796,useful,coliff,1530567577,1,2,1,0,45.30592129629632,98,v4-dev
41801993,26786,useful,patrickhlauke,1530486065,1,2,1,0.07453163580246913,45.32401453189298,97,v4-dev
41765186,26785,useful,XhmikosR,1530393177,1,8,3,4.598165766460905,50.628775848765464,108,v4-dev
41675307,26776,useful,supergibbs,1530200534,1,8,2,0.3693786008230453,47.33166049382715,121,v4-dev
41600691,26771,useful,MartijnCuppens,1530091313,1,22,2,4.333112139917696,50.11690007716048,127,v4-dev
41576806,26767,useful,Johann-S,1530060059,2,8562,53,103.40971733539082,101.49980041152259,172,v4-dev
41567602,26766,useful,XhmikosR,1530049085,1,3,1,8.427716306584362,48.70903163580244,125,v4-dev
41505959,26761,useless,zhai,1529967558,1,1,1,0,50.01958654835388,125,v4-dev
41436134,26756,useful,jakubhonisek,1529880454,9,127,3,4.69077533436214,48.404599022633725,123,v4-dev
41412064,26754,useful,mdo,1529836312,1,11,2,5.110249485596707,46.089425668724274,120,v4-dev
41310120,26744,useless,someden,1529629318,1,1,1,0,47.25733243312755,119,v4-dev
41299649,26743,useful,jdanil,1529608591,1,12,1,0,46.56959850823044,118,v4-dev
41267861,26741,useful,XhmikosR,1529564491,1,755,2,15.280949074074071,54.48351954732506,125,v4-dev
41261877,26739,useful,XhmikosR,1529557644,4,15,2,8.453603009259261,48.35419534465019,119,v4-dev
41237188,26732,useful,mdo,1529521604,4,2940,287,120.41982085905363,73.67209387860079,141,v4-dev
41211004,26729,useful,MartijnCuppens,1529481487,1,41,1,3.9775352366255143,46.4692051183127,116,v4-dev
41157215,26723,useless,joshwand,1529402817,1,2,1,0.21383822016460907,42.52150308641974,121,v4-dev
40815964,26708,useful,MartijnCuppens,1528800595,1,22,3,0,52.218489068930076,131,v4-dev
40811262,26705,useless,wizard519,1528794392,1,1,1,0,52.322989197530816,131,v4-dev
40739247,26699,useless,TheKishPatel,1528694961,250,77182,371,33.10184220679011,54.02592206790122,139,v4-dev
40708952,26694,useless,seven-feng,1528652809,1,1,1,0,52.764520447530856,141,v4-dev
40620096,26688,useful,sts-ryan-holton,1528428421,1,2,1,0.33914634773662555,57.09038721707822,150,v4-dev
40545983,26682,useful,garhbod,1528321213,1,25,1,0,59.15844277263367,150,v4-dev
40473232,26674,useful,ysds,1528219382,2,72,4,1.4641157407407408,61.147453060699604,153,v4-dev
40457111,26672,useless,MartijnCuppens,1528194132,1,35,1,0,61.644270190329244,153,v4-dev
40432114,26663,useful,coliff,1528166929,1,2,1,0.37277443415637856,61.172860725308695,152,v4-dev
40431091,26662,useful,XhmikosR,1528165762,2,8,3,3.065901877572017,60.191102237654306,151,v4-dev
40328247,26658,useful,XhmikosR,1528008543,6,1269,4,22.482996399176944,62.25097698045271,153,v4-dev
40290960,26654,useful,patrickhlauke,1527915403,1,15,1,0,63.08349678497946,154,v4-dev
40286817,26653,useful,MartijnCuppens,1527907172,1,32,1,0.4061793981481482,63.24650784465021,154,v4-dev
40270440,26650,useless,tiesont,1527870353,1,8,1,1.3510615997942388,62.97602957818931,157,v4-dev
40240323,26647,useful,MartijnCuppens,1527833317,1,127,1,4.161594393004115,63.72379861111112,157,v4-dev
40231464,26645,useful,Johann-S,1527824778,2,240,9,22.43846630658437,62.89190534979423,156,v4-dev
40213901,26642,useless,abiaoLHB,1527798693,1,2,1,6.093372556584361,57.384161008230414,150,v4-dev
40180871,26638,useful,marcosfreitas,1527746962,1,2,1,0.42678253600823046,57.377396090534994,150,v4-dev
40132847,26635,useful,XhmikosR,1527669704,1,24,2,0,56.85413966049383,149,v4-dev
40128970,26634,useful,coliff,1527664515,1,2,1,5.255062757201646,56.95356880144035,149,v4-dev
40116665,26632,useless,aholzner,1527649696,250,31001,192,57.84961496913572,57.23752340534982,149,v4-dev
40105484,26630,useful,Johann-S,1527634369,6,146,5,5.519282793209877,57.5312120627572,149,v4-dev
40048703,26622,useless,miau715,1527548217,1,6,1,4.179405478395061,59.18201556069959,149,v4-dev
40019596,26618,useless,tr33house,1527494977,1,4,1,0.45918801440329216,60.202175025720166,149,v4-dev
40007613,26615,useful,andresgalante,1527477901,1,2,1,1.3811795267489713,60.52937718621398,149,v4-dev
39987266,26608,useless,604392817,1527444236,1,3,1,5.510015303497941,61.17444984567899,149,v4-dev
39964831,26606,useless,sw-double,1527396547,1,2,1,4.315939686213992,62.08824369855968,149,v4-dev
39964262,26605,useless,xqMr,1527394927,1,1,1,0,11.83120601851852,17,gh-pages
39931957,26599,useful,XhmikosR,1527282496,2,49,4,11.61096952160494,63.26379963991769,150,v4-dev
39905202,26595,useless,stars-xixi,1527231038,1,2,1,0.10103600823045267,64.30077276234569,157,v4-dev
39902210,26594,useful,XhmikosR,1527227475,1,2,1,0.5596378600823044,64.37271090534979,157,v4-dev
39881665,26590,useless,irvanseptian0809,1527199313,250,7958,153,52.02957343106992,64.94131095679012,157,v4-dev
39861766,26587,useless,Vimal-Raghubir,1527163078,1,15,1,0.5018704989711934,65.67290753600817,157,v4-dev
39855458,26585,useful,RobertSmits,1527156237,1,18,2,9.667676054526751,65.81102957818929,157,v4-dev
39846717,26580,useful,browner12,1527146719,1,10,1,2.000946502057613,66.00320113168722,157,v4-dev
39758812,26561,useful,Johann-S,1527030783,2,4,1,4.983133744855967,65.32774176954736,154,v4-dev
39697636,26554,useless,lukestringer,1526938743,250,7958,153,40.35323135288069,59.07949627057617,147,v4-dev
39690295,26552,useless,ItsPugle,1526923236,1,8,1,0.5327143775720165,59.3726455761317,147,v4-dev
39671330,26551,useful,patrickhlauke,1526895554,1,54,1,0.5362743055555556,59.89595498971191,147,v4-dev
39664509,26550,useless,GitHub20180208,1526886887,250,7958,153,40.94674781378601,60.059798739711916,147,v4-dev
39634871,26545,useless,moogacs,1526840738,1,4,1,0,60.94960082304525,154,v4-dev
